PRIMARY_SAMPLE_UNIT,YEAR,STATION_NR,DEPTH,MAX_HARD_RELIEF,MAX_SOFT_RELIEF,AVG_HARD_RELIEF,PCT_SAND,PCT_HARD_BOTTOM,PCT_RUBBLE,PCT_CORAL,PCT_OCTO,PCT_SPONGE,LAT_DEGREES,LON_DEGREES
6040,2017,1,28.0416,0.575,1.125,0.15,5,95,0,5.5,8,6,18.1908,-64.73746
6041,2017,1,27.432,0.625,1.25,0.16,3.5,96,0.5,6.5,7,8,18.19413,-64.73676
6042,2017,1,28.0416,2.45,1.35,0.9925,5,95,0,7,7.5,6.5,18.23475,-64.65675
6043,2017,1,28.8036,1.35,1.3,0.5575,3,96.5,0.5,11.5,7.5,3,18.23552,-64.84689
6044,2017,1,29.4132,1.3,1.2,0.56375,0.5,99.5,0,13,9,2.5,18.23649,-64.84802
6045,2017,1,26.3652,0.77,1.335,0.29375,13.5,69,17.5,9,10,6,18.26007,-64.97396
6046,2017,1,23.3172,1.05,1.45,0.18225,27.5,52,20.5,4,9,4,18.2634,-64.89518
6047,2017,1,26.67,1.125,0.675,0.448125,10,90,0,17.5,2,6,18.2644,-64.8888
6048,2017,1,23.9268,0.9,1.1,0.3375,3.5,94,2.5,5,12.5,14,18.29378,-64.79564
6049,2017,1,27.2796,0.8,0.7,0.2975,6.5,92.5,1,11.5,2,2,18.26586,-65.10354
6050,2017,1,27.2796,0.75,1.1,0.3475,15,82.5,2.5,12.5,2,3,18.27265,-65.13972
6051,2017,1,24.6888,0.6,0.7,0.2185,22.5,70,7.5,6.5,0.5,1,18.27842,-65.14078
6052,2017,1,27.7368,1.025,0.7,0.39,1,94,5,13.5,1,1.5,18.28289,-65.14229
6053,2017,1,25.146,0.6,0.55,0.25525,10,80,10,7.5,1,3,18.28382,-65.13102
6054,2017,1,25.7556,0.65,1,0.25375,3,92.5,4.5,9,3.5,4.5,18.2897,-65.1379
6055,2017,1,25.908,0.65,0.625,0.2425,15,72.5,12.5,6.5,1,3.5,18.29405,-65.1397
6056,2017,1,23.1648,0.95,1.25,0.335,5.5,90,4.5,9.5,6,5.5,18.29592,-65.14465
6057,2017,1,23.9268,1.15,1.65,0.27,21,46.5,32.5,30,10,6,18.30691,-65.14498
6058,2017,1,24.9936,0.575,1,0.29375,11.5,85,3.5,36,8,11,18.30704,-65.1337
6059,2017,1,23.9268,0.8,1.3,0.2915,30,67,3,20,9,6,18.31006,-65.1465
6060,2017,1,23.1648,0.3,0.5,0.10625,32.5,17.5,50,1,0.5,15,18.32787,-64.80966
6062,2017,1,27.432,0.2,0.35,0.1,75,17.5,7.5,1,0,9.5,18.33914,-64.8188
6063,2017,1,18.1356,0.35,1.35,0.10625,65,27.5,7.5,1,60,10,18.34479,-64.83426
6064,2017,1,22.098,0.9,0.85,0.235,52.5,37.5,10,5,22.5,9,18.35186,-64.80509
6065,2017,1,21.9456,0.225,0.25,0.10625,45,17.5,37.5,0.5,0,1.5,18.36779,-64.69295
6066,2017,1,23.3172,0.15,0.3,0.1,45,0.5,54.5,5,0,0,18.36828,-64.69179
6067,2017,1,21.7932,1.35,0.4,0.240625,20,7.5,72.5,16,1.5,30,18.36957,-64.69245
6068,2017,1,21.1836,0.6,0.625,0.1415,37.5,23,39.5,1,5,5,18.37008,-64.6964
6070,2017,1,19.9644,0.4,0.45,0.115,52.5,5,42.5,25,7.5,7.5,18.37101,-64.69267
6071,2017,1,22.5552,0.25,0.3,0.10625,60,27.5,12.5,0.5,1,2,18.37067,-64.68557
6073,2017,1,22.5552,0.7,1.15,0.185,12.5,47.5,40,2,31.5,2.5,18.37129,-64.68398
